Origin,Destination,Carrier,Month,Delay Percentage,Total Flights,Delay Flights,Total Delay Time(min),Carrier Delay,Weather Delay,NAS Delay,Security Delay,Aircraft Delay
MCO,FLL,WN,11,36%,208,75,1046,313,0,104,0,629
MCO,LAS,WN,11,29%,292,84,1111,565,0,218,0,328
MCO,MDW,WN,11,28%,930,258,6486,2008,914,686,59,2819
MCO,MSP,WN,11,28%,57,16,155,42,0,17,0,96
MCO,PHL,WN,11,36%,573,206,6462,2246,363,1409,19,2425
MCO,PHX,WN,11,39%,150,59,787,347,0,159,0,281
MCO,SAN,WN,11,43%,40,17,545,104,0,93,0,348
MDW,ATL,WN,11,31%,503,155,3300,1540,140,484,0,1136
MDW,BOS,WN,11,37%,613,228,4806,1544,284,824,0,2154
MDW,BWI,WN,11,39%,863,336,7312,3119,325,792,0,3076
MDW,CLT,WN,11,36%,177,64,1084,280,0,261,0,543
MDW,DCA,WN,11,29%,508,145,2683,868,28,464,0,1323
MDW,DEN,WN,11,31%,1150,353,7847,1951,529,1170,15,4182
MDW,DTW,WN,11,38%,736,276,5939,1780,342,601,0,3216
MDW,EWR,WN,11,44%,825,359,9698,2712,914,3478,0,2594
MDW,FLL,WN,11,35%,541,191,4370,1932,280,619,0,1539
MDW,IAD,WN,11,34%,570,193,3776,1541,140,249,0,1846
MDW,LAS,WN,11,33%,1180,386,9032,2744,685,1683,0,3920
